date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:57	152/152	---MCZ	200	added ('OK')	text/plain	etag:b84115f34c37e99437553927123ce4dc	http://www.wordscribe.org/robots.txt		(from )
18:29:58	14932/14932	---MCZ	200	added ('OK')	text/html	etag:15db9bfa2126c96a4f7a5ce9d04d39cf	http://www.wordscribe.org/	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/index.html	(from )
18:29:58	33558/33558	---MCZ	200	added ('OK')	text/css	etag:16e8e9d36ab226b8c41549b8e718003c	http://www.wordscribe.org/site.css?v=	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/siteec92.css	(from http://www.wordscribe.org/)
18:29:59	41029/41029	---M-Z	200	added ('OK')	application/x-javascript	etag:%226e4534b164fd11:0%22	http://img4.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1	C:/My%20Web%20Sites/Wordscribe%20Site/img4.wsimg.com/starfield/duel/v2.5.8/duel35bd.js	(from http://www.wordscribe.org/)
18:29:59	13560/13560	---MCZ	200	added ('OK')	text/html	etag:01f0d17fc73618a0d89214db5aa9ac3d	http://www.wordscribe.org/about.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/about.html	(from http://www.wordscribe.org/)
18:29:59	14932/14932	---MCZ	200	added ('OK')	text/html	etag:15db9bfa2126c96a4f7a5ce9d04d39cf	http://www.wordscribe.org/home.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/home.html	(from http://www.wordscribe.org/)
18:30:00	12990/12990	---MCZ	200	added ('OK')	text/html	etag:533088ea0d286e428fd1e4742356e5f5	http://www.wordscribe.org/about-wordscribe.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/about-wordscribe.html	(from http://www.wordscribe.org/)
18:30:00	12370/12370	---MCZ	200	added ('OK')	text/html	etag:ae567635d374ffb163e27091704b5960	http://www.wordscribe.org/team.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/team.html	(from http://www.wordscribe.org/)
18:30:00	14436/14436	---MCZ	200	added ('OK')	text/html	etag:71b31de75e493e5d68902872488b29aa	http://www.wordscribe.org/partners.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/partners.html	(from http://www.wordscribe.org/)
18:30:01	14128/14128	---MCZ	200	added ('OK')	text/html	etag:21894f9327009cb5587b50146f5e081c	http://www.wordscribe.org/apply2.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/apply2.html	(from http://www.wordscribe.org/)
18:30:01	14527/14527	---MCZ	200	added ('OK')	text/html	etag:741e4301b3b9d6594a525f2adfb7c89c	http://www.wordscribe.org/projects.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/projects.html	(from http://www.wordscribe.org/)
18:30:01	15058/15058	---MCZ	200	added ('OK')	text/html	etag:ac8cc95d7d208a69af339e697a1d7b40	http://www.wordscribe.org/ongoing-projects.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/ongoing-projects.html	(from http://www.wordscribe.org/)
18:30:01	10964/10964	---MCZ	200	added ('OK')	text/html	etag:4140d9ad3511d9f8f7f7b2981ac7ca6d	http://www.wordscribe.org/active-authors.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/active-authors.html	(from http://www.wordscribe.org/)
18:30:02	10117/10117	---MCZ	200	added ('OK')	text/html	etag:9c249987d07e2d68f16ca70cd97d6c3d	http://www.wordscribe.org/contact.html	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/contact.html	(from http://www.wordscribe.org/)
18:30:02	5969/5969	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202b9e6ff26d11:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	C:/My%20Web%20Sites/Wordscribe%20Site/img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	(from http://www.wordscribe.org/)
18:30:03	195/195	---M--	200	added ('OK')	image/png	etag:%229d9ce67fda8dd21:0%22	https://img4.wsimg.com/wst/v7/WSB7_J_20170223_0628_WSB-16347_9966/v2/images/wsb-slideshow-nav-arrows-sprt.png	C:/My%20Web%20Sites/Wordscribe%20Site/img4.wsimg.com/wst/v7/WSB7_J_20170223_0628_WSB-16347_9966/v2/images/wsb-slideshow-nav-arrows-sprt.png	(from http://www.wordscribe.org/site.css?v=)
18:30:03	964/964	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Dec%202017%2010:30:03%20GMT	http://www.wordscribe.org/css!starfield/sf.core.css	C:/My%20Web%20Sites/Wordscribe%20Site/www.wordscribe.org/css!starfield/sf.core.css	(from http://img4.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1)
